"id","created_at","updated_at","deleted_at","student_id","subject_class_id","is_active","first_ca","second_ca","first_exam","total_first","grade_first","remark_first","s_first_ca","s_second_ca","second_exam","total_second","grade_second","remark_second"
1839,"2020-11-29 21:38:46.129116+01","2020-12-17 11:44:24.491005+01",,91,59,TRUE,,,,,,,1,6,16,23,"F","WEAK"
3510,"2020-12-12 12:31:48.755423+01","2020-12-17 11:58:30.867657+01",,185,65,TRUE,0,0,0,0,"","",13,14,26,53,"C","GOOD"
3280,"2020-12-09 08:36:36.603818+01","2020-12-17 11:43:42.576378+01",,95,77,TRUE,0,0,0,0,"","",20,17,38,75,"A","EXCELLENT"
2483,"2020-11-29 21:38:47.200415+01","2020-12-17 12:01:41.190058+01",,173,97,TRUE,,,,,,,15,11,37,63,"B","VERY GOOD"
1779,"2020-11-29 21:38:46.035672+01","2020-12-17 11:42:55.767249+01",,150,44,TRUE,,,,,,,13,9,48,70,"A","EXCELLENT"
1688,"2020-11-29 21:38:45.900144+01","2020-12-17 11:40:26.372243+01",,138,17,TRUE,,,,,,,,,,,"F","WEAK"
1689,"2020-11-29 21:38:45.901473+01","2020-12-17 11:40:26.374844+01",,138,62,TRUE,,,,,,,,,,,"F","WEAK"
1690,"2020-11-29 21:38:45.902919+01","2020-12-17 11:40:26.377612+01",,138,59,TRUE,,,,,,,,,,,"F","WEAK"
1691,"2020-11-29 21:38:45.904073+01","2020-12-17 11:40:26.380151+01",,138,86,TRUE,,,,,,,,,,,"F","WEAK"
1685,"2020-11-29 21:38:45.896392+01","2020-12-17 11:40:26.382654+01",,138,23,TRUE,,,,,,,1,0,16,17,"F","WEAK"
3204,"2020-12-09 07:59:46.110194+01","2020-12-17 12:02:27.950367+01",,180,14,TRUE,,,,,,,5,3,19,27,"F","WEAK"
1739,"2020-11-29 21:38:45.982166+01","2020-12-15 09:20:57.308178+01",,142,58,TRUE,,,,,,,,,,,"F","WEAK"
3244,"2020-12-09 08:30:01.720284+01","2020-12-17 11:56:21.13868+01",,88,68,TRUE,0,0,0,0,"","",18,13,47,78,"A","EXCELLENT"
1740,"2020-11-29 21:38:45.983297+01","2020-12-15 09:20:57.312988+01",,142,43,TRUE,,,,,,,,,,,"F","WEAK"
1684,"2020-11-29 21:38:45.893835+01","2020-12-17 11:40:04.855002+01",,2,64,TRUE,,,,,,,4,11,28,43,"E","PASS"
1678,"2020-11-29 21:38:45.885928+01","2020-12-17 11:40:04.857202+01",,2,25,TRUE,,,,,,,11,13,24,48,"D","PASS"
1679,"2020-11-29 21:38:45.887535+01","2020-12-17 11:40:04.859564+01",,2,19,TRUE,,,,,,,9,15,25,49,"D","PASS"
1742,"2020-11-29 21:38:45.985763+01","2020-12-15 09:20:57.317148+01",,142,34,TRUE,,,,,,,,,,,"F","WEAK"
1693,"2020-11-29 21:38:45.908075+01","2020-12-17 11:40:40.391027+01",,115,19,TRUE,,,,,,,4,15,11,30,"F","POOR"
1680,"2020-11-29 21:38:45.888883+01","2020-12-17 11:40:04.861904+01",,2,97,TRUE,,,,,,,15,12,38,65,"B","VERY GOOD"
